Year,Player,Team,Position
2023,Stephen Curry,Golden State Warriors,PG
2022,Chris Paul,Phoenix Suns,PG
2022,DeMar DeRozan,Chicago Bulls,SF
2022,Devin Booker,Phoenix Suns,SG
2022,Giannis Antetokounmpo,Milwaukee Bucks,PF
2022,Ja Morant,Memphis Grizzlies,PG
2022,Jayson Tatum,Boston Celtics,SF
2022,Joel Embiid,Philadelphia 76ers,C
2022,Karl-Anthony Towns,Minnesota Timberwolves,C
2022,Kevin Durant,Brooklyn Nets,PF
2022,LeBron James,Los Angeles Lakers,SF
2022,Luka Doncic,Dallas Mavericks,PG
2022,Nikola Jokic,Denver Nuggets,C
2022,Pascal Siakam,Toronto Raptors,PF
2022,Stephen Curry,Golden State Warriors,PG
2022,Trae Young,Atlanta Hawks,PG
2021,Bradley Beal,Washington Wizards,SG
2021,Chris Paul,Phoenix Suns,PG
2021,Damian Lillard,Portland Trail Blazers,PG
2021,Giannis Antetokounmpo,Milwaukee Bucks,PF
2021,Jimmy Butler III,Miami Heat,SF
2021,Joel Embiid,Philadelphia 76ers,C
2021,Julius Randle,New York Knicks,PF
2021,Kawhi Leonard,LA Clippers,SF
2021,Kyrie Irving,Brooklyn Nets,PG
2021,LeBron James,Los Angeles Lakers,SF
2021,Luka Doncic,Dallas Mavericks,PG
2021,Nikola Jokic,Denver Nuggets,C
2021,Paul George,LA Clippers,SG
2021,Rudy Gobert,Utah Jazz,C
2021,Stephen Curry,Golden State Warriors,PG
2020,Anthony Davis,Los Angeles Lakers,F
2020,Ben Simmons,Philadelphia 76ers,F
2020,Chris Paul,Oklahoma City Thunder,G
2020,Damian Lillard,Portland Trail Blazers,G
2020,Giannis Antetokounmpo,Milwaukee Bucks,F
2020,James Harden,Houston Rockets,G
2020,Jayson Tatum,Boston Celtics,F
2020,Jimmy Butler III,Miami Heat,F
2020,Kawhi Leonard,LA Clippers,F
2020,LeBron James,Los Angeles Lakers,F
2020,Luka Doncic,Dallas Mavericks,G
2020,Nikola Jokic,Denver Nuggets,C
2020,Pascal Siakam,Toronto Raptors,F
2020,Rudy Gobert,Utah Jazz,C
2020,Russell Westbrook,Houston Rockets,G
2019,Blake Griffin,Detroit Pistons,F
2019,Damian Lillard,Portland Trail Blazers,G
2019,Giannis Antetokounmpo,Milwaukee Bucks,F
2019,James Harden,Houston Rockets,G
2019,Joel Embiid,Philadelphia 76ers,C
2019,Kawhi Leonard,Toronto Raptors,F
2019,Kemba Walker,Charlotte Hornets,G
2019,Kevin Durant,Golden State Warriors,F
2019,Kyrie Irving,Boston Celtics,G
2019,LeBron James,Los Angeles Lakers,F
2019,Nikola Jokic,Denver Nuggets,C
2019,Paul George,Oklahoma City Thunder,F
2019,Rudy Gobert,Utah Jazz,C
2019,Russell Westbrook,Oklahoma City Thunder,G
2019,Stephen Curry,Golden State Warriors,G
2018,Anthony Davis,New Orleans Pelicans,F
2018,Damian Lillard,Portland Trail Blazers,G
2018,DeMar DeRozan,Toronto Raptors,G
2018,Giannis Antetokounmpo,Milwaukee Bucks,F
2018,James Harden,Houston Rockets,G
2018,Jimmy Butler III,Minnesota Timberwolves,G
2018,Joel Embiid,Philadelphia 76ers,C
2018,Karl-Anthony Towns,Minnesota Timberwolves,F
2018,Kevin Durant,Golden State Warriors,F
2018,LaMarcus Aldridge,San Antonio Spurs,F
2018,LeBron James,Cleveland Cavaliers,F
2018,Paul George,Oklahoma City Thunder,F
2018,Russell Westbrook,Oklahoma City Thunder,G
2018,Stephen Curry,Golden State Warriors,G
2018,Victor Oladipo,Indiana Pacers,G
2017,Anthony Davis,New Orleans Pelicans,F
2017,DeAndre Jordan,LA Clippers,C
2017,DeMar DeRozan,Toronto Raptors,G
2017,Draymond Green,Golden State Warriors,F
2017,Giannis Antetokounmpo,Milwaukee Bucks,F
2017,Isaiah Thomas,Boston Celtics,G
2017,James Harden,Houston Rockets,G
2017,Jimmy Butler III,Chicago Bulls,G
2017,John Wall,Washington Wizards,G
2017,Kawhi Leonard,San Antonio Spurs,F
2017,Kevin Durant,Golden State Warriors,F
2017,LeBron James,Cleveland Cavaliers,F
2017,Rudy Gobert,Utah Jazz,C
2017,Russell Westbrook,Oklahoma City Thunder,G
2017,Stephen Curry,Golden State Warriors,G
2016,Andre Drummond,Detroit Pistons,C
2016,Chris Paul,LA Clippers,G
2016,Damian Lillard,Portland Trail Blazers,G
2016,DeAndre Jordan,LA Clippers,C
2016,DeMarcus Cousins,Sacramento Kings,C
2016,Draymond Green,Golden State Warriors,F
2016,Kawhi Leonard,San Antonio Spurs,F
2016,Kevin Durant,Oklahoma City Thunder,F
2016,Klay Thompson,Golden State Warriors,G
2016,Kyle Lowry,Toronto Raptors,G
2016,LaMarcus Aldridge,San Antonio Spurs,F
2016,LeBron James,Cleveland Cavaliers,F
2016,Paul George,Indiana Pacers,F
2016,Russell Westbrook,Oklahoma City Thunder,G
2016,Stephen Curry,Golden State Warriors,G
2015,Anthony Davis,New Orleans Pelicans,F
2015,Blake Griffin,LA Clippers,F
2015,Chris Paul,LA Clippers,G
2015,DeAndre Jordan,LA Clippers,C
2015,DeMarcus Cousins,Sacramento Kings,C
2015,James Harden,Houston Rockets,G
2015,Klay Thompson,Golden State Warriors,G
2015,Kyrie Irving,Cleveland Cavaliers,G
2015,LaMarcus Aldridge,Portland Trail Blazers,F
2015,LeBron James,Cleveland Cavaliers,F
2015,Marc Gasol,Memphis Grizzlies,C
2015,Pau Gasol,Chicago Bulls,F
2015,Russell Westbrook,Oklahoma City Thunder,G
2015,Stephen Curry,Golden State Warriors,G
2015,Tim Duncan,San Antonio Spurs,F
