Reviewer,Local Guide,Reviews,Photos,Stars,Review,Date,Visited on,Wait time,Reservation recommended,review_text_raw,rating,review_date,reviewer_name,char_len_raw,clean_text,tokens,word_count,char_count,sentiment_score,sentiment_label
Jerry Leonhardt,False,2,0,1,Do not get concert tickets here unless you get floor seats or the lower 100 section. All 200 section seats are above the lights. The two jumbo trons are at floor level. Concert goers in the 200 section were taking pictures of musicians on jumbo tron and blowing them up in editing just to see who was singing. Had a better experience at concerts at Bank of America Stadium,a day ago,,,,Do not get concert tickets here unless you get floor seats or the lower 100 section. All 200 section seats are above the lights. The two jumbo trons are at floor level. Concert goers in the 200 section were taking pictures of musicians on jumbo tron and blowing them up in editing just to see who was singing. Had a better experience at concerts at Bank of America Stadium,1.0,,Jerry Leonhardt,372,not get concert ticket unless get floor seat lower section section seat light two jumbo trons floor level concert goer section taking picture musician jumbo tron blowing editing see singing better experience concert bank america stadium,"['not', 'get', 'concert', 'ticket', 'unless', 'get', 'floor', 'seat', 'lower', 'section', 'section', 'seat', 'light', 'two', 'jumbo', 'trons', 'floor', 'level', 'concert', 'goer', 'section', 'taking', 'picture', 'musician', 'jumbo', 'tron', 'blowing', 'editing', 'see', 'singing', 'better', 'experience', 'concert', 'bank', 'america', 'stadium']",36,372,0.1779,positive
Shanon Kornegay,True,17,16,5,It's the Spectrum who doesn't love the Spectrum center. Arrive early,a week ago,,,,It's the Spectrum who doesn't love the Spectrum center. Arrive early,5.0,,Shanon Kornegay,68,spectrum love spectrum center arrive early,"['spectrum', 'love', 'spectrum', 'center', 'arrive', 'early']",6,68,-0.5216,negative
Greg,True,179,0,1,"The customer service at this place is horrible!! I was planning on going to the Hornets game tonight against the Knicks but had a few questions before going. I checked the website and it was not clear about some things. So, I decided to call the Spectrum Center. I called 5 times throughout the day starting at 9:30. I was never able to get a human being on the phone now matter what button I pressed. It was VERY ANNOYING!!!!!! I have now decided to never go to any event at this place. I used to go to 2-3 Hornets games a season. But because of their rules and horrible customer service I will never go there EVER!!!!!! Even if I got free tickets to an event I really would like. I wish Google would allow you to leave a review with zero stars.",a week ago,,,,"The customer service at this place is horrible!! I was planning on going to the Hornets game tonight against the Knicks but had a few questions before going. I checked the website and it was not clear about some things. So, I decided to call the Spectrum Center. I called 5 times throughout the day starting at 9:30. I was never able to get a human being on the phone now matter what button I pressed. It was VERY ANNOYING!!!!!! I have now decided to never go to any event at this place. I used to go to 2-3 Hornets games a season. But because of their rules and horrible customer service I will never go there EVER!!!!!! Even if I got free tickets to an event I really would like. I wish Google would allow you to leave a review with zero stars.",1.0,,Greg,746,customer service place horrible planning going hornet game tonight knicks question going checked website not clear thing decided call spectrum center called time throughout day starting never able get human phone matter button pressed annoying decided never event place used hornet game season rule horrible customer service never ever even got free ticket event really would like wish google would allow leave review zero star,"['customer', 'service', 'place', 'horrible', 'planning', 'going', 'hornet', 'game', 'tonight', 'knicks', 'question', 'going', 'checked', 'website', 'not', 'clear', 'thing', 'decided', 'call', 'spectrum', 'center', 'called', 'time', 'throughout', 'day', 'starting', 'never', 'able', 'get', 'human', 'phone', 'matter', 'button', 'pressed', 'annoying', 'decided', 'never', 'event', 'place', 'used', 'hornet', 'game', 'season', 'rule', 'horrible', 'customer', 'service', 'never', 'ever', 'even', 'got', 'free', 'ticket', 'event', 'really', 'would', 'like', 'wish', 'google', 'would', 'allow', 'leave', 'review', 'zero', 'star']",65,746,0.7687,positive
Sue Hill,False,7,0,2,"Prior to attending the ACC tournament, I emailed 3 customer service names listed with no response and called to receive the message the voice mail was full. I have 3 major food allergies and needed to know what was available and if I could simply bring in a sandwich. Our university was told by Spectrum my allergies were covered by Spectrum restaurants If I chose to bring a sandwich, I would check it at a desk then return to eat in front of someone. Day 1 I chose to explore available options. There were NONE that were dairy andor gluten free. Many didnt know what gluten was. The remaining time, I ate before and after the event. Disappointing and Frustrating. Staff at the event were awesome. Friendly. The facility is nice.",3 weeks ago,,,,"Prior to attending the ACC tournament, I emailed 3 customer service names listed with no response and called to receive the message the voice mail was full. I have 3 major food allergies and needed to know what was available and if I could simply bring in a sandwich. Our university was told by Spectrum my allergies were covered by Spectrum restaurants If I chose to bring a sandwich, I would check it at a desk then return to eat in front of someone. Day 1 I chose to explore available options. There were NONE that were dairy andor gluten free. Many didnt know what gluten was. The remaining time, I ate before and after the event. Disappointing and Frustrating. Staff at the event were awesome. Friendly. The facility is nice.",2.0,,Sue Hill,730,prior attending acc tournament emailed customer service name listed response called receive message voice mail full major food allergy needed know available could simply bring sandwich university told spectrum allergy covered spectrum restaurant chose bring sandwich would check desk return eat front someone day chose explore available option none dairy andor gluten free many didnt know gluten remaining time ate event disappointing frustrating staff event awesome friendly facility nice,"['prior', 'attending', 'acc', 'tournament', 'emailed', 'customer', 'service', 'name', 'listed', 'response', 'called', 'receive', 'message', 'voice', 'mail', 'full', 'major', 'food', 'allergy', 'needed', 'know', 'available', 'could', 'simply', 'bring', 'sandwich', 'university', 'told', 'spectrum', 'allergy', 'covered', 'spectrum', 'restaurant', 'chose', 'bring', 'sandwich', 'would', 'check', 'desk', 'return', 'eat', 'front', 'someone', 'day', 'chose', 'explore', 'available', 'option', 'none', 'dairy', 'andor', 'gluten', 'free', 'many', 'didnt', 'know', 'gluten', 'remaining', 'time', 'ate', 'event', 'disappointing', 'frustrating', 'staff', 'event', 'awesome', 'friendly', 'facility', 'nice']",69,730,0.7269,positive
Bob Irvin,True,35,29,4,The area between 116 112 is very nice! The big bar. The variety of food choices. Great idea. Good place to see basketball game or a concert. Parking is challenging tho. 6 levels of spiraling up down. I understand why people leave early - to reduce the car exit time! But that's an unfortunate reason!! You pay all this money. Leaving early is sad.,3 weeks ago,,,,The area between 116 112 is very nice! The big bar. The variety of food choices. Great idea. Good place to see basketball game or a concert. Parking is challenging tho. 6 levels of spiraling up down. I understand why people leave early - to reduce the car exit time! But that's an unfortunate reason!! You pay all this money. Leaving early is sad.,4.0,,Bob Irvin,347,area nice big bar variety food choice great idea good place see basketball game concert parking challenging tho level spiraling understand people leave early reduce car exit time that's unfortunate reason pay money leaving early sad,"['area', 'nice', 'big', 'bar', 'variety', 'food', 'choice', 'great', 'idea', 'good', 'place', 'see', 'basketball', 'game', 'concert', 'parking', 'challenging', 'tho', 'level', 'spiraling', 'understand', 'people', 'leave', 'early', 'reduce', 'car', 'exit', 'time', ""that's"", 'unfortunate', 'reason', 'pay', 'money', 'leaving', 'early', 'sad']",36,347,-0.7328,negative
Hurt Lisette,False,1,4,5,I miss my Billie.,a month ago,,,,I miss my Billie.,5.0,,Hurt Lisette,17,miss billie,"['miss', 'billie']",2,17,-0.1531,negative
Jimmy Mak mta,True,329,0,3,There wasn't enough staff visible to help the motorist find parking,a month ago,,,,There wasn't enough staff visible to help the motorist find parking,3.0,,Jimmy Mak mta,67,enough staff visible help motorist find parking,"['enough', 'staff', 'visible', 'help', 'motorist', 'find', 'parking']",7,67,0.4019,positive
Folami Iam,True,33,0,3,Went for the new edition concert. Sound quality was very poor and staff at the end of the night were rude. Otherwise it is a nice venue. Good set up. Easy to get to with lots of hotels in walking distance.,a month ago,,,,Went for the new edition concert. Sound quality was very poor and staff at the end of the night were rude. Otherwise it is a nice venue. Good set up. Easy to get to with lots of hotels in walking distance.,3.0,,Folami Iam,205,went new edition concert sound quality poor staff end night rude otherwise nice venue good set easy get lot hotel walking distance,"['went', 'new', 'edition', 'concert', 'sound', 'quality', 'poor', 'staff', 'end', 'night', 'rude', 'otherwise', 'nice', 'venue', 'good', 'set', 'easy', 'get', 'lot', 'hotel', 'walking', 'distance']",22,205,0.2975,positive
Shaheed Mujaahid,True,121,80,2,Cup holders are on the floor on the 2nd level it's easy to trip over as well as in an unsafe location,Edited a month ago,,,,Cup holders are on the floor on the 2nd level it's easy to trip over as well as in an unsafe location,2.0,,Shaheed Mujaahid,101,cup holder floor level easy trip well unsafe location,"['cup', 'holder', 'floor', 'level', 'easy', 'trip', 'well', 'unsafe', 'location']",9,101,0.6124,positive
daniel stegner,True,164,20,5,NIN Whats not to love. The staff there are really friendly.Seat comfortComfortable,a month ago,,,,NIN Whats not to love. The staff there are really friendly.Seat comfortComfortable,5.0,,daniel stegner,82,nin whats not love staff really friendly seat comfortcomfortable,"['nin', 'whats', 'not', 'love', 'staff', 'really', 'friendly', 'seat', 'comfortcomfortable']",9,82,-0.5216,negative
