rating,sentiment_score,review_text_raw
1.0,-0.9771,"The arena itself? Its nice. Getting in? Its like Fort Knox. Its worse than your favorite major airport. If youre driving from say, two hours away, after a day of work, and you expect to be in your seat by the 7pm Hornets start time 7:30 or 8:00 being the usual NBA weeknight standard, youre sorely mistaken. Twice I have spent more than I ever have on tickets, hundreds of dollars, to sit at floor level for Hornets vs. Knicks, and twice I have been on time but missed the first quarter. Fool me once, shame on you; fool me twice, shame on me. The queue to get in is absolutely ridiculous. I havent seen anything like this to get into any arena anywhere. The process was just as disorderly both times. Both times I was separated from my party to go through a different line, single file, yet theyre yelling at us to have our tickets out and ready to go, not really taking into account that one of us might be holding all of the tickets? Then once you go through several metal detectors and, if youre lucky like me, a thorough hands-on inspection usually involving scrutiny of my bottle opener on my keychain, youre almost through the first quarter and youve wasted 14 of the youve shelled out to sit close to the court. One of the members of my party is blind in one eye and going through cancer treatment. There was no regard for her being separated from me during the asinine entrance process; in fact, just the opposite from the belligerent staff mindlessly barking orders at hundreds of fans missing the first part of the game. I gave it one more shot. Shame on me, like I said. From now on, I will drive to Atlanta. Its worth the extra time in the car to be able to get in without chaos and see the entire game. Besides, the Hornets are perpetually terrible and seem to have no direction regardless of coach or talent. I do not like the Hawks, but at least theyre decent. I guess at least Spectrum is being consistent, as their venue is just as abhorrent as their home internet service."
1.0,-0.9733,I think it's very selfish to make fans buy tickets through tickermaster. I do not want to pay extra for a ticket when I can buy directly through the arena. Who wants to wait to the day of the show to buy a ticket the show might be sold out. All these areans are n poor neighbor hoods but of course we suffer from it the most! May b if we boycotted the spectrum center some changes will be made. Think of your community first not ur wallet which the poor never benefits from now we n Charlotte not mid-town Manhattan everyone don't have the kind of money u think. I am very disappointed with the people who run the spectrum center all the respect is lost!
1.0,-0.9694,Made me throw my cigarettes out??? A grown 50 year old man cant have his smokes on him inside?? Worst policy ever people at the door rude about it will never return for any event. Edit... Now I found out they dont trust me with the lids to our water bottles. Trying to hold three water bottles while the kids run off isnt fun open. Wish I could lower than a 1 star absolutely the worst basketball arena Ive ever had the displeasure of watching a game at.
1.0,-0.9621,"Allowing a random unqualified fan A NON EMPLOYEE to dictate the order in which general admission wristbands were distributed is highly unprofessional. It should not have been the responsibility of an unaffiliated individual to manage wristbands or verify line order. We witnessed venue staff consulting her personal phone list and deferring to her judgment multiple times. She was not part of your team, and its concerning that her system was treated as official. Especially when she was being dishonest about distributing the bracelets in a first come first serve basis. She saved bands for her friends. Gave better numbers to people she liked and worse numbers to people she disliked. The people in the beginning of line got their places in line and were able to leave and go to concerts in Raleigh and come back. Etc!! Absolutely nothing posted about general admission on Spectrum Centers website and social media pages were actually followed. I wouldnt trust this venue to abide by anything they say after this weekend. It says line up at 5th street north entrance day of show The fan created line was started on N Brevard St. the day of the show and Spectrum employees crossed the street OFF SPECTRUM PROPERTY to distribute bands in accordance to this random fan girls jurisdiction following her list on her phone to a tee. The line of people on 5th street at 8am were told they would have to go to the back of the line a whole street over even though they followed instructions posted by venue. Show GA ticket for wristband -they made us show the FAN MADE wristband to them in addition to the ticket to get a wristband. Line up starts at 3pm in wristband order with final check in at 4pm. Guests arriving after 4pm will line up after the last wristband holder we arrived at 3pm and no effort was made night 1 to put people in order until 5:00. On N2, a couple of announcements were made to put ourselves in order but no actual effort from spectrum employees in enforcing order was done until 5:20 and even that was very minimal. No one was put in the back of the line for arriving after 4:00 in fact people coming in at 3-4pm were even being told they could leave and be back at 5:30. Again, extremely unprofessional making people who followed the rules sit there for 2.5 hours for absolutely no reason. And then creating mass panic at 5-5:30 to get in the correct order when everyone is already anxious. Overnight camping is not permitted at Spectrum Center or surrounding parking lots While the camping that took place was across the street of the property, Spectrum Center management went out of their way to reward camping by bringing gift boxes to the campers there earlier in the week and crossed the street OFF spectrum property to prioritize the campers for wristband distribution. They made no effort to discourage the act of camping in a dangerous area 5 days before the concert."
1.0,-0.9614,"Spectrum Center Ignores Accessibility Concerns Customer Complaints Even at the Highest Levels My family and I attended WWE Monday Night Raw at Spectrum Center, and it was one of the worst venue experiences weve ever had. Despite spending over 800 on tickets, taking time off work and school, and traveling for the event, we were met with zero empathy or assistance from the staff. Key Issues We Faced: I have a serious medical condition and a severe fear of heights, yet our seats were in a high, exposed section. I asked over 10 employees for help before being sent to guest relations, where I was ignored for more than 10 minutes. I was told no accommodations were available, despite offering to pay for an upgrade. I later learned this was false, as another family was moved for free. I was forced to spend an additional 1,500 just to sit in a safe space with my family. A staff member pulled a curtain shut on my crying 5- and 7-year-old children, treating us like we didnt belong. Spectrum Center Also Fails Disabled Guests in Parking Accessibility: They do NOT offer handicap parking and do not own their own parking facility. If you require accessible entry, you must be dropped off at a designated areaso plan ahead, because they make it as difficult as possible. Spectrum Center Leadership Ignores Complaints Even When Contacted Directly I have sent multiple emails to every senior leader at Spectrum Center, including C-suite executives, and have been completely ignored. I even paid to send LinkedIn direct messages, which were read but never responded to. Here are the senior executives I contacted who refused to acknowledge my concerns: Rick Schnall Co-Chairman Governor Gabe Plotkin Co-Chairman Alternate Governor Michael Jordan Alternate Governor Dave Novak Executive Committee Member Rotating Alternate Governor Chris Shumway Executive Committee Member Rotating Alternate Governor Shelly Cayette-Weston President of Business Operations James R. Jordan Chief Operating Officer Seth Bennett Chief Marketing Officer Despite their high-ranking positions, not one of them has responded to my repeated outreach. Bottom Line: Spectrum Centers customer service is horrible, misleading, and completely fails people with medical needs. If youre considering going to an event hereespecially if you or a loved one has a disabilityBEWARE. SpectrumCenter CharlotteNC WWE CustomerServiceFail DisabilityRights DoBetter AccessibilityMatters IgnoredByLeadership"
3.0,-0.9357,"Went to three shows in February- Mary J, Martin Lawrence, and Lil Wayne and I have no complaints on the artists and their performances. However, I will never ever buy any seats above the 100 level. Made the mistake of cheaping out sec 231 on the first show and it was worst experience ever. People smoking black n milds right behind us and no staff member including security did anything about it no matter how many times everyone in the section complained! Why hire scared, elderly people for security if their unable to perform security!!!"
1.0,-0.9031,"It is a nice place but It was a very bad experience; the smell of marijuana forced us to leave early. Neither the security staff nor a police officer who was inside did anything, despite our reporting it. I will not return to that place."
3.0,-0.9004,"Venue is good, the ladies at the front door directing people are rude as hell. If you're so miserable at your job, find a new one. Terrible first impression, put them ladies in the back somewhere."
1.0,-0.8936,"So, Im going to the Ghost concert this Sunday. But there's a severe winterice storm coming through this weekend. And the spectrum center is completely avoiding giving any updates on whether the concert is getting postponed, canceled, or still happening. And Im driving 3 hours to get there. Completely unacceptable"
1.0,-0.8781,"2 tickets, 1000, never got seated due to people in our seats an staff failing to remove them. Was told to wright down my information 2 weeks have went by an no one has called an there as been no solution. DISAPPOINTED!!!"
