rating,sentiment_score,review_text_raw
5.0,0.9975,"I drove me and my daughter 5 12 hrs one way to come and see disturbed 25 year anniversary tour. And this venue made every second in that car worth it. The show itself was out of the water amazing, between lights, production,and sound. Every artist on the tour was amazing. But the staff here made the experience so much better. Super friendly, funny, and just all around good people. And a HUGE shout out to the supervisor who heard my joke and took it to heart me and my daughter got sat behind a very nice man who was about 7ft tall while we're 5ft on a good day thank you for moving us to where we could see and enjoy the show in all it's full glory. You gave my daughter an experience she will never forget and I won't ever forget your kindness.Not only to find me later,move us, but also to check back and make sure we were good and enjoying ourselves. Would 100010 drive back just to come to this venue again amazing work guys!!"
5.0,0.9968,"We visited the Spectrum Center to watch the Hornets take on Detroit and had a great experience overall. Getting there was super easy and we found parking just across the street for 20, which honestly felt like a steal. Coming from New England, that's unheard of. The arena itself is a great place to catch a basketball game. The walkways are bright, clean, and spacious, and the seating area was the same. I had plenty of room in my seat with a few extra inches of leg room, which I never get at 6'2"". We were sitting in the lower bowl so it may be different higher up, but our experience was very comfortable. The staff throughout the arena were all friendly and welcoming, which added to the overall atmosphere and made the whole experience feel that much better. The one downside was the food. The premade chicken nachos and tacos were a miss. The chicken didn't taste like chicken and we're pretty sure it came from a can. That said, some of the other food options looked much better, so we'd just choose differently next time. Overall the Spectrum Center is a fantastic venue. Easy access, affordable parking, friendly staff, a clean and comfortable atmosphere, and a fun night out. Just skip the premade chicken items and you're golden.Seat comfortComfortable"
5.0,0.9962,"Attending the recent NBA game at the Spectrum Center was an electrifying experience that I won't soon forget. From the moment I stepped into the arena, the atmosphere was buzzing with excitement and anticipation. The energy from the crowd was palpable, with fans decked out in their favorite team jerseys and ready to cheer their hearts out. The Spectrum Center itself is a fantastic venue with excellent sightlines and comfortable seating. Whether you're sitting close to the court or up in the nosebleeds, you can still feel connected to the action. The modern amenities, including big screens for replays and highlights, made every moment of the game even more thrilling. As the players took to the court, the intensity of the matchup was evident. The talent on display was astounding, showcasing some of the best players in the league. Every dunk, three-pointer, and pivotal play was met with roars from the crowd, creating a sense of unity among the fans. I found myself caught up in the emotion of the game, celebrating each basket and holding my breath during tense moments. The halftime show was also a highlight, featuring impressive performances that kept the energy high. It was a great way to break up the action and keep everyone entertained. Overall, my experience at the Spectrum Center during the NBA game was unforgettable. The combination of an exhilarating atmosphere, top-tier basketball, and engaged fans made it an incredible night out. I can't wait to return for another game soon!"
3.0,0.9913,"Saw NIN at the Spectrum Center last night, the show was great however the venue is getting increasingly more difficult to visit. Security is jerky and defensive in general, I've seen many bands at the Spectrum Center going all the way back to when it was still Time Warner. I frequently go to concerts and am well versed in venuearena etiquette. That being said, a few years back I purchased a LIVE NATION concert bag, which is basically a small clear rucksack, at a concert in which my already small bag was still too big. Since then, I have taken this 'concert bag' to every show I've been to including ones at the Spectrum Center because it is literally designed to meet venue bag requirements. Last night however, security tried to keep me from entering with my 'concert bag'. The measuring board they were using for bag sizing was 2 centimeters shorter than my bag that was literally designed and sold by the people that sold me the tickets to this concert!!!!! Like... excuse me?!?! I finally convinced them to let me in with it BUT after that I had a Zippo lighter in my bag and they wanted me to throw it away!!!! My concert companion ran it back to the hotel but seriously?!?! Your staff asked me to throw away a 50 lighter!!! One even said 'if you throw that away I am gonna take it'. Evidently they weren't allowing anyone inside with lighters, vapes or even a pack of cigarettes!!! What?!? I understand safety and security rules and regulations, most of which I think are pretty reasonable and it is reassuring no one is allowed in with a knife or weapon BUT what is someone going to do with a cigarette? Are you worried someone is going to set a fire? It is so dumb and the security situation in general is getting ever more draconian. If you're going to be so strict with this type of stuff you need to have a bagcoat check so you don't have to throw away your personal property. How anyone thinks it is reasonable to ask a patron to throw their baglighterwhatever away is beyond me. I will say the lovely girl that scanned our tickets was very pleasant and sweet. The best part of the venue is the fountain Diet Dr. Pepper and free refills, with the price of drinks the refills should be free."
4.0,0.9911,"Attended multiple concerts and shows here and as always it can get hectic! From parking locations, parking PRICES, crowds, security, etc. Once you get through all that, pretty nice place. Clean, multiple eating locations and bars throughout. We attended a comedy show and this got a mini suite and it was nice. Went through VIP entrance, very smooth and efficient. They have a food buffet outside on your suites which consisted of hot dogs, baked potato, meatloaf, chips and dip with chicken sliders. Pretty good not bad. In our suites we had unlimited beer, unlimited bottles of wine and soft drinks, cheese and meat selection. Good seats with an island and chairs to sit around and talk while eating. Worth the price to split between friends and enjoy a show in a semi private experience."
5.0,0.9908,"This should be a 500 star review. I was at Spectrum Center for an NBA game last week managed to leave my AMEX at a POS location. Trevan who is in sales office returned my frantic call the next day and s et off on a 3 day journey to locate it. Sure enough, he did. I cant begin to tell you how happy, but really how impressed I am at his effort. Really above and beyond. As I live 3 states away at that, his commitment to helping SHOULD NOT BE IGNORED BY THOSE WHO RUN THAT PLACE. Customer service is alive and well. Thank you Trevan. And oh yeah, its a great facility filled with great staff. 2 hot dogs are also a major .Seat comfortComfortable"
5.0,0.9908,"I've been to many concerts in many venues, but the staff here, were the absolute best. Everyone was so friendly, so helpful, and had smiles on their faces. Of course, the concert was great, but what makes a concert or event stand out is the little details like the event staff, the cleanliness of the restrooms which was by the way SUPERIOR to any other venue, and just overall vibe of the place."
5.0,0.9888,"Rauw Alejandro was AMAZING!! You go here for the entertainment in town. Better off seeing a show at Bojangles Coliseum or Panther's Stadium. When the Charlotte Bobcats were the team, the staff was amazing! Recently, the experience has been meh at best. Our usher had an internal temperature of 98.6. That's it. Made finding your seats confusing and had you questioning yourself. Uber pick up was not advertised either. Hard to line up a ride home. Used to attend several events a year. Not anymore. Update: I had to update my rating. The current staff is extremely pleasant and helpful. The vendors were very friendly! Can't say a negative thing about my most recent experience. They had the outdoor seating area open too! Very nice! Highly recommended!!!"
3.0,0.9888,"We have been going to the spectrum Center for years. I was previously a partial season ticket holder for the Charlotte Hornets. I gave them up due to the expenses that come with traveling to Charlotte from Winston Salem. My kids took me yesterday for the Knicks game as a Birthday gift. After being on an u organized and chaotic line for half hour, we get to the front and a security lady comes out of nowhere and tells my wife she cant go in with her CLEAR bag. I advised her we purchased it the previous year in the arena. She said, New owners, new rules in a nasty tone. The bag was about 3 inches bigger than the 7 they now admit, Mind you, its clear and was only 14 full. Then her and another security guard said get out of the line and go to the back after you put your bag in the car. They were doing this to a lot of people, even one with a stroller. They were not professional at all. Super Nasty! The worse part was that inside we saw bigger SOLID pocketbooks and bags!!!! Luckily it was a good game and I cooled down. The new colors on the basketball floor are cool. The overhead is crystal clear. Staff inside was nice. Prices are still high for food and drinks, add tickets and parking and its becoming a rich mans night out. We had fun and our NY Knicks won! Update: Its nice to come out here once in a while to catch a game but it gets expensive. Between tickets and parking, its become a rich mans sport, just like every other sport. My biggest complain is the food quality. They have switched over to self serve kiosks where you tap your card and grab and go. The food does not feel fresh and could be sitting quite a bit of time. They also have someone making you take the cap off your drinks and throwing them out. This becomes a hassle to carry and spill and sodas go flat quickly. We got the Chicken strips and waffle fries and they were worse than what you would get at a gas station. The nachos come in a small bag with a sealed cold cheese sauce, just nasty! Not a lot of nachos in the bag and no option of jalapeños or chili or HOT cheese! Just not worth it for the money you pay. Better off eating ahead or after the games. I would love to see more affordable t shirts or value worthy gifts for everyone, not just the people with money to spare. Would love to come to more games but 1 or 2 a year is my limit. I can only afford nosebleeds and for that I might as well stay in the comfort of my home."
5.0,0.9886,"I went to a Hornets game at Spectrum Center and had an awesome time! The arena was clean, the seats were comfortable, and the view of the court was really good. The staff were nice and helped us find our section fast. The music and lights made the game even more exciting. There were lots of food and drink options too, and everything was easy to find. I had a great time and would definitely go again. If you like basketball or live events, this is a great place to visit!"
